On Digikey,Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SF_SKU
x,BT1,,BATTERY-18650,BATTERY_18650-HOLDER,Battery - Single Cell,,,,,BATT-12327,PRT-13113
x,C1,10uF,C-USC1210,C1210,"CAPACITOR, American symbol",,,,,,
x,C2,2.2uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,
x,C3,22pF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C4,0.1uF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,
x,C5,22pF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C6,100uF,C-USC1210,C1210,"CAPACITOR, American symbol",,,,,,
x,C7,10uF,C-USC1210,C1210,"CAPACITOR, American symbol",,,,,,
x,C8,10uf,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,
x,C9,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C10,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C11,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C12,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C13,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C14,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C15,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C16,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C17,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C18,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C19,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C20,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C21,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C22,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C23,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C24,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C25,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C26,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C27,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C28,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C29,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C30,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C31,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C32,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C33,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C34,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C35,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C36,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C37,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C38,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C39,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C40,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C41,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C42,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C43,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C44,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C45,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C46,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C47,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C48,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C49,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C50,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C51,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C52,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C53,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C54,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C55,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C56,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C57,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C58,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C59,0.1uF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C60,10µF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,
x,C61,10µF,C-USC0805,C0805,"CAPACITOR, American symbol",,,,,,
x,C62,1F,CPOL-USE5-8.5,"E5-8,5","POLARIZED CAPACITOR, American symbol",,,,,,
x,C63,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C64,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C65,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C66,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C67,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,C68,100nF,C-USC0603,C0603,"CAPACITOR, American symbol",,,,,,
x,CHRG/LBO,ORANGE,ADAFRUIT_LEDCHIPLED_0603,ADAFRUIT_CHIPLED_0603,LED,,,,,,
x,CN4,MicroUSB,USBMICRO_20329,4UCONN_20329,USB Connectors,,,,,,
x,DONE,GREEN,ADAFRUIT_LEDCHIPLED_0603,ADAFRUIT_CHIPLED_0603,LED,,,,,,
x,IC3,MEGA8-AI,MEGA8-AI,TQFP32-08,MICROCONTROLLER,,ATMEGA8-16AU,9171371,73M8863,,
x,JP1,PROG_HEADER,PINHD-2X4,2X04,PIN HEADER,,,,,,
x,JP3,TCVR_HEADER,PINHD-2X4,2X04,PIN HEADER,,,,,,
x,L1,6.8uH,INDUCTORTDK_VLC5045,INDUCTOR_5X5MM_TDK_VLC5045,Inductors,,,,,,
x,LBO,RED,ADAFRUIT_LEDCHIPLED_0603,ADAFRUIT_CHIPLED_0603,LED,,,,,,
x,LED1,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED2,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED3,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED4,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED5,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED6,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED7,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED8,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED9,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED10,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED11,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED12,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED13,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED14,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED15,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED16,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED17,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED18,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED19,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED20,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED21,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED22,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED23,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED24,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED25,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED26,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED27,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED28,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED29,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED30,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED31,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED32,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED33,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED34,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED35,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED36,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
x,LED37,WS2812B5050-NARROW,WS2812B5050-NARROW,WS2812B-NARROW,,,,,,,
